promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
8.2,0.0,22,4,150.0,5.0,0.0,4.0,3,0,1,0,1,1,1,2,0,2,2
8.2,4.0,23,4,25.0,6.0,0.0,6.0,3,0,1,0,1,1,1,2,0,2,2
8.1,4.0,22,5,120.0,5.0,0.0,4.0,3,8,0,0,1,1,0,2,0,2,2
7.7,1.0,24,5,60.0,3.0,4.0,7.0,2,0,0,0,1,1,0,2,0,2,2
7.7,2.0,21,5,47.0,2.0,2.0,5.0,2,0,0,0,2,1,0,2,0,0,1
7.8,2.0,26,5,120.0,3.0,24.0,4.0,5,0,0,0,1,0,1,2,0,0,2
7.0,3.0,20,5,40.0,1.0,0.0,6.0,3,0,1,0,1,1,0,2,0,2,2
8.0,0.0,25,5,100.0,8.0,0.0,6.0,4,0,1,0,1,0,0,2,0,2,2
8.1,3.0,22,5,90.0,3.0,0.0,5.0,2,0,0,0,1,1,0,2,0,2,2
6.1,7.0,21,5,120.0,1.0,8.0,5.0,1,0,1,1,1,1,0,2,0,0,1
7.7,3.0,23,5,40.0,4.0,0.0,3.0,1,0,1,0,1,1,0,2,0,2,1
8.8,0.0,20,4,100.0,2.0,0.0,5.0,2,0,1,0,1,0,0,2,0,2,2
8.0,0.0,23,5,75.0,6.0,0.0,4.0,2,0,0,0,1,1,1,2,0,2,2
7.4,8.0,25,4,120.0,5.0,0.0,4.0,3,0,0,0,2,1,0,2,0,0,2
6.3,4.0,20,4,40.0,7.0,0.0,6.0,1,0,0,1,1,0,0,2,0,2,2
6.8,2.0,20,5,90.0,3.0,0.0,5.0,3,0,1,1,1,1,0,1,0,2,2
7.0,1.0,20,5,90.0,3.0,0.0,6.0,3,0,0,1,1,0,0,2,0,2,1
7.7,2.0,20,4,120.0,2.0,8.0,6.0,3,0,1,1,1,1,0,2,0,2,2
6.5,2.0,23,4,60.0,3.0,5.0,6.0,3,0,0,1,1,0,0,2,1,0,2
6.0,2.0,19,3,120.0,3.0,5.0,5.0,2,0,0,0,1,1,0,2,0,2,2
7.7,7.0,22,5,40.0,3.0,0.0,6.0,3,0,0,0,1,1,1,2,0,2,2
6.0,6.0,20,5,70.0,2.0,0.0,6.0,3,0,0,0,1,0,0,2,0,2,2
7.5,14.0,24,3,180.0,3.0,6.0,5.0,5,0,0,0,1,1,1,2,0,2,2
7.5,4.0,22,5,120.0,4.0,0.0,5.0,3,0,1,1,1,1,0,2,0,2,2
7.2,15.0,27,5,90.0,3.0,7.0,4.0,2,0,1,0,1,1,0,2,0,2,2
8.0,1.0,22,5,90.0,5.0,0.0,6.0,1,0,0,0,1,1,0,2,0,2,2
7.0,1.0,23,1,90.0,5.0,0.0,5.0,1,0,0,0,2,1,0,2,0,2,2
7.4,7.0,25,5,120.0,9.0,0.0,5.0,2,0,0,0,1,1,0,2,0,2,2
7.0,3.0,21,5,70.0,1.0,0.0,5.0,2,0,1,0,1,0,0,2,0,2,2
7.0,1.0,22,5,120.0,4.0,0.0,5.0,3,0,0,0,1,1,0,2,0,2,2
7.0,3.0,20,4,90.0,4.0,0.0,5.0,4,0,1,0,2,0,0,2,0,0,2
8.3,5.0,24,4,50.0,4.0,0.0,7.0,3,0,0,0,1,1,0,2,0,2,2
8.7,0.0,21,5,150.0,1.0,0.0,6.0,2,0,1,0,1,1,1,2,0,2,2
7.9,0.0,19,4,60.0,3.0,0.0,4.0,3,0,0,0,1,1,0,2,0,2,2
7.8,2.0,21,5,180.0,2.0,2.0,6.0,3,0,1,0,1,1,1,2,0,2,2
8.0,0.0,19,5,90.0,4.0,0.0,6.0,1,0,0,0,1,0,0,2,0,2,2
8.3,1.0,21,5,90.0,3.0,0.0,6.0,3,0,0,0,1,1,1,2,0,2,2
7.3,5.0,23,4,180.0,4.0,0.0,3.0,3,0,1,1,1,1,0,2,1,2,2
7.0,8.0,22,2,100.0,1.0,16.0,4.0,5,0,0,0,1,1,0,2,0,2,2
7.2,8.0,21,5,20.0,3.0,4.0,6.0,1,0,0,1,2,1,0,2,0,2,2
7.5,10.0,25,4,90.0,3.0,0.0,6.0,4,0,2,0,1,1,0,2,0,2,2
7.3,6.0,23,3,120.0,2.0,4.0,3.0,3,0,0,0,1,1,0,2,0,0,2
6.3,1.0,19,4,120.0,3.0,0.0,5.0,3,0,0,0,1,1,1,2,0,0,2
7.8,2.0,19,5,150.0,2.0,8.0,6.0,4,0,0,1,1,0,0,2,0,2,2
6.8,2.0,19,3,30.0,2.0,4.0,5.0,2,0,0,0,1,1,0,2,0,2,2
8.9,0.0,22,3,90.0,1.0,0.0,6.0,2,0,0,0,1,1,0,2,1,2,2
9.4,0.0,19,5,60.0,5.0,0.0,6.0,3,0,0,0,1,0,0,2,0,2,2
9.2,0.0,22,5,30.0,4.0,0.0,7.0,5,0,0,0,1,0,0,2,0,2,2
8.0,5.0,25,2,150.0,3.0,6.0,3.0,2,0,1,0,1,1,1,2,0,2,2
7.4,7.0,22,4,180.0,1.0,8.0,2.0,2,0,0,1,1,1,1,2,0,2,2
